drugbank_id	metabolights_id	name	inchi_key
DB13912	MTBLC3907	Coumermycin A1	WTIJXIZOODAMJT-IYKSDEDASA-N
DB13916	MTBLC134606	Toyocamycin	XOKJUSAYZUAMGJ-WOUKDFQISA-N
DB13949	MTBLC29034	Ferric cation	VTLYFUHAOXGGBS-UHFFFAOYSA-N
DB13962	MTBLC16002	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC16537	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC21049	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC21359	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC21397	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC21398	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC29108	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC30612	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC30852	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC35390	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC37535	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC37536	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC37547	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13962	MTBLC47537	Calcium saccharate	UGZVNIRNPPEDHM-SBBOJQDXSA-L
DB13963	MTBLC35290	1,2-dichlorobenzene	RFFLAFLAYFXFSW-UHFFFAOYSA-N
DB13969	MTBLC17883	Quaternium-24	SCXCDVTWABNWLW-UHFFFAOYSA-M
DB13969	MTBLC17996	Quaternium-24	SCXCDVTWABNWLW-UHFFFAOYSA-M
DB13972	MTBLC16643	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC16811	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC16867	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC32631	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC32632	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC32637	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC32638	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC32644	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC32646	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC57844	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC57932	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13972	MTBLC64558	Racemethionine	FFEARJCKVFRZRR-UHFFFAOYSA-N
DB13977	MTBLC17544	Potassium carbonate	BWHMMNNQKKPAPP-UHFFFAOYSA-L
DB13977	MTBLC28976	Potassium carbonate	BWHMMNNQKKPAPP-UHFFFAOYSA-L
DB13977	MTBLC29103	Potassium carbonate	BWHMMNNQKKPAPP-UHFFFAOYSA-L
DB13977	MTBLC41609	Potassium carbonate	BWHMMNNQKKPAPP-UHFFFAOYSA-L
DB13987	MTBLC17883	Strontium chloride	AHBGXTDRMVNFER-UHFFFAOYSA-L
DB13987	MTBLC17996	Strontium chloride	AHBGXTDRMVNFER-UHFFFAOYSA-L
DB13995	MTBLC16947	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC18361	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC29034	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC29888	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC30769	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC33017	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC33019	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC35802	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC35806	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC35809	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC35810	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13995	MTBLC45212	Ferric pyrophosphate citrate	SXAWSYZURCZSDX-UHFFFAOYSA-B
DB13996	MTBLC15366	Magnesium acetate	UEGPKNKPLBYCNK-UHFFFAOYSA-L
DB13996	MTBLC30089	Magnesium acetate	UEGPKNKPLBYCNK-UHFFFAOYSA-L
DB14006	MTBLC15354	Choline salicylate	UDKCHVLMFQVBAA-UHFFFAOYSA-M
DB14006	MTBLC16914	Choline salicylate	UDKCHVLMFQVBAA-UHFFFAOYSA-M
