drugbank_id	recon_id	inchi_key
DB01390	hco3	UIIMBOGNXHQVGW-UHFFFAOYSA-M
DB01390	na1	UIIMBOGNXHQVGW-UHFFFAOYSA-M
DB01401	chol	FQCQGOZEWWPOKI-UHFFFAOYSA-K
DB01435	antipyrene	VEQOALNAAJBPNY-UHFFFAOYSA-N
DB01494	glyb	ONAOIDNSINNZOA-UHFFFAOYSA-N
DB01495	antipyrene	ATKXDQOHNICLQW-UHFFFAOYSA-N
DB01524	C04295	QADHLRWLCPCEKT-LOVVWNRFSA-N
DB01525	ecgon	PHMBVCPLDPDESM-FKSUSPILSA-N
DB01525	pecgon	PHMBVCPLDPDESM-FKSUSPILSA-N
DB01530	CE2209	CBMYJHIOYJEBSB-KHOSGYARSA-N
DB01536	andrstndn	AEMFNILZOJDQLW-QAGGRKNESA-N
DB01561	andrstandn	RAJWOBJTTGJROA-WZNAKSSCSA-N
DB01574	h2o	IXWIAFSBWGYQOE-UHFFFAOYSA-M
DB01574	oh1	IXWIAFSBWGYQOE-UHFFFAOYSA-M
DB01575	h2o	KGOIAFZMMLWXLM-UHFFFAOYSA-N
DB01575	oh1	KGOIAFZMMLWXLM-UHFFFAOYSA-N
DB01583	na1	LKYWLLWWYBVUPP-XOCLESOZSA-L
DB01583	thyox_L	LKYWLLWWYBVUPP-XOCLESOZSA-L
DB01583	triodthy	LKYWLLWWYBVUPP-XOCLESOZSA-L
DB01586	C02528	RUDATBOHQWOJDD-UZVSRGJWSA-N
DB01632	prpp	PQGCEDQWHSBAJP-TXICZTDVSA-N
DB01638	C01507	FBPFZTCFMRRESA-JGWLITMVSA-N
DB01638	galt	FBPFZTCFMRRESA-JGWLITMVSA-N
DB01638	sbt_D	FBPFZTCFMRRESA-JGWLITMVSA-N
DB01643	dtmp	GYOZYWVXFNDGLU-XLPZGREQSA-N
DB01646	C02712	XUYPXLNMDZIRQH-LURJTMIESA-N
DB01650	2coum	PMOWTIHVNWZYFI-AATRIKPKSA-N
DB01652	4hbzcoa	LTVXPVBFJBTNIJ-TYHXJLICSA-N
DB01655	6pgc	BIRSGZKFKXLSJQ-QTBDOELSSA-N
DB01671	h2o	WMHRYLDWLOGHSG-UHFFFAOYSA-M
DB01671	oh1	WMHRYLDWLOGHSG-UHFFFAOYSA-M
DB01675	2mp2coa	NPALUEYCDZWBOV-NDZSKPAWSA-N
DB01677	fum	VZCYOOQTPOCHFL-OWOJBTEDSA-N
DB01687	lcts	GUBGYTABKSRVRQ-PZPXDAEZSA-N
DB01687	malt	GUBGYTABKSRVRQ-PZPXDAEZSA-N
DB01692	dtt	VHJLVAABSRFDPM-ZXZARUISSA-N
DB01697	malttr	FYGDTMLNYKFZSV-CSHPIKHBSA-N
DB01700	aicar	NOTGFIUVDGNKRI-UUOKFMHZSA-N
DB01702	34dhpha	CFFZDZCDUFSOFZ-UHFFFAOYSA-N
DB01708	dhea	FMGSKLZLMKYGDP-USOAJAOKSA-N
DB01709	2pg	GXIURPTVHJPJLF-UWTATZPHSA-N
DB01713	udpxyl	DQQDLYVHOTZLOR-OCIMBMBZSA-N
DB01727	icit	ODBLHEXUDAPZAU-OKKQSCSOSA-N
DB01729	mi134p	MMWCIQZXVOZEGG-MLQGYMEPSA-N
DB01729	mi145p	MMWCIQZXVOZEGG-MLQGYMEPSA-N
DB01738	ethamp	SUHOOTKUPISOBE-UHFFFAOYSA-N
DB01739	ile_L	AGPKZVBTJJNPAG-UHNVWZDZSA-N
DB01746	leu_L	ROHFNLRQFUQHCH-RXMQYKEDSA-N
DB01747	fe3	FQIVLXIUJLOKPL-DWZMLRRXSA-N
DB01751	CE2881	PPJYSSNKSXAVDB-UHFFFAOYSA-N
DB01752	ahcys	ZJUKTBDSGOFHSH-WFMPWKQPSA-N
DB01758	3ityr_L	UQTZMGFTRHFAAM-ZETCQYMHSA-N
DB01762	acac	WDJHALXBUFZDSR-UHFFFAOYSA-N
DB01774	adpglc	WFPZSXYXPSUOPY-ROYWQJLOSA-N
DB01774	adpman	WFPZSXYXPSUOPY-ROYWQJLOSA-N
DB01775	dha	RXKJFZQQPQGTFL-UHFFFAOYSA-N
DB01783	pnto_R	GHOKWGTUZJEAQD-ZETCQYMHSA-N
DB01785	dmpp	CBIDRCWHNCKSTO-UHFFFAOYSA-N
DB01786	ala_D	QNAYBMKLOCPYGJ-UWTATZPHSA-N
DB01786	ala_L	QNAYBMKLOCPYGJ-UWTATZPHSA-N
DB01796	quln	GJAWHXHKYYXBSV-UHFFFAOYSA-N
DB01811	CE4888	SGNZYJXNUURYCH-UHFFFAOYSA-N
DB01812	pap	WHTCPDAXWFLDIH-KQYNXXCUSA-N
DB01819	pep	DTBNBXWJWCWCIK-UHFFFAOYSA-N
DB01822	dttOX	YPGMOWHXEQDBBV-IMJSIDKUSA-N
DB01828	mma	BAVYZALUXZFZLV-UHFFFAOYSA-N
DB01839	12ppd_R	DNIAPMSPPWPWGF-UHFFFAOYSA-N
DB01839	12ppd_S	DNIAPMSPPWPWGF-UHFFFAOYSA-N
DB01849	56dura	OIVLITBTBDPEFK-UHFFFAOYSA-N
DB01861	udpg	HSCJRCZFDFQWRP-JZMIEXBBSA-N
DB01861	udpgal	HSCJRCZFDFQWRP-JZMIEXBBSA-N
DB01863	mi1345p	CIPFCGZLFXVXBG-CNWJWELYSA-N
DB01880	34dhcinm	QAIPRVGONGVQAS-DUXPYHPUSA-N
DB01912	cl	XTQMQLRZXBEQCS-UHFFFAOYSA-M
DB01917	ptrc	KIDHWZJUCRJVML-UHFFFAOYSA-N
DB01923	ru5p_D	FNZLKVNUWIIPSJ-WHFBIAKZSA-N
DB01923	xu5p_D	FNZLKVNUWIIPSJ-WHFBIAKZSA-N
DB01936	rib_D	HMFHBZSHGGEWLO-MBMOQRBOSA-N
