drugbank_id	pubchem_tpharma_id	inchi_key
DB00118	26738656	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	49811892	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	49837886	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	49837919	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	49837920	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	56265811	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	56351066	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	56388957	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	56460480	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	57271979	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	57271980	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	57271981	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	87231408	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	87231521	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	87462717	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	96059071	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	96059402	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	99230953	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	14793656	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	14842806	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	14842809	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	14842811	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	15170403	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	15194189	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	15194194	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	16508126	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	16946262	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	14843134	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	14968016	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	14992434	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15066585	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15091303	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15147099	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15194938	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15219430	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15243306	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15243347	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15339594	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15339650	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15364022	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15413239	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15462347	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15486987	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15487005	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15536447	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15536448	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15686530	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	15736464	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	16130205	COLNVLDHVKWLRT-QMMMGPOBSA-N
