drugbank_id	kegg_ligand_id	inchi_key
DB00187	C06980	AQNDDEOPVVGCPG-UHFFFAOYSA-N
DB00189	C07833	ZEHYJZXQEQOSON-AATRIKPKSA-N
DB00190	C06870	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00191	C07438	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00193	C07153	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DB00194	C00212	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00195	C06849	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00198	C08092	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00198	C08093	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00199	C01912	ULGZDMOVFRHVEP-RWJQBGPGSA-N
DB00200	C00001	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00200	C01328	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00201	C07481	RYYVLZVUVIJVGH-UHFFFAOYSA-N
DB00202	C07546	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00203	C07259	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00204	C07751	IXTMWRCNAAVVAI-UHFFFAOYSA-N
DB00205	C07391	WKSAUQYGYAYLPV-UHFFFAOYSA-N
DB00206	C06539	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00207	C06838	MQTOSJVFKKJCRP-BICOPXKESA-N
DB00208	C07140	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00211	C07890	PTKSEFOSCHHMPD-UHFFFAOYSA-N
DB00212	C07465	UXIGZRQVLGFTOU-VQXQMPIVSA-N
DB00213	C11806	IQPSEEYGBUAQFF-UHFFFAOYSA-N
DB00215	C07572	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00218	C07663	FABPRXSRWADJSP-MEDUHNTESA-N
DB00218	C08054	FABPRXSRWADJSP-MEDUHNTESA-N
DB00220	C07257	QAGYKUNXZHXKMR-HKWSIXNMSA-N
DB00220	C08091	QAGYKUNXZHXKMR-HKWSIXNMSA-N
DB00221	C07053	HUYWAWARQUIQLE-UHFFFAOYSA-N
DB00222	C07669	WIGIZIANZCJQQY-RUCARUNLSA-N
DB00223	C14479	WXURHACBFYSXBI-XHIJKXOTSA-N
DB00224	C07051	CBVCZFGXHXORBI-PXQQMZJSSA-N
DB00224	C08089	CBVCZFGXHXORBI-PXQQMZJSSA-N
DB00225	C13106	HZHFFEYYPYZMNU-UHFFFAOYSA-K
DB00226	C07035	HPBNRIOWIXYZFK-UHFFFAOYSA-N
DB00227	C07074	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00228	C07516	JPGQOUSTVILISH-UHFFFAOYSA-N
DB00231	C07125	SEQDDYPDSLOBDC-UHFFFAOYSA-N
DB00232	C07765	CESYKOGBSMNBPD-UHFFFAOYSA-N
DB00233	C02518	WUBBRNOQWQTFEX-UHFFFAOYSA-N
DB00235	C07224	PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00235	C13595	PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00236	C07362	NJBFOOCLYDNZJN-UHFFFAOYSA-N
DB00237	C07827	ZRIHAIZYIMGOAB-UHFFFAOYSA-N
DB00238	C07263	NQDJXKOVJZTUJA-UHFFFAOYSA-N
DB00239	C08074	QRJJEGAJXVEBNE-HKOYGPOVSA-N
DB00239	C08075	QRJJEGAJXVEBNE-HKOYGPOVSA-N
DB00245	C06846	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00246	C07568	MVWVFYHBGMAFLY-UHFFFAOYSA-N
DB00247	C07199	KPJZHOPZRAFDTN-NQUBZZJWSA-N
DB00248	C08187	KORNTPPJEAJQIU-KJXAQDMKSA-N
DB00250	C07666	MQJKPEGWNLWLTK-UHFFFAOYSA-N
DB00251	C08080	BLSQLHNBWJLIBQ-OZXSUGGESA-N
DB00252	C07443	CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00253	C14643	GZENKSODFLBBHQ-ILSZZQPISA-N
DB00254	C06973	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00255	C07620	RGLYKWWBQGJZGM-ISLYRVAYSA-N
DB00257	C06922	VNFPBHJOKIVQEB-UHFFFAOYSA-N
DB00258	C00033	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00258	C00076	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00259	C07458	FDDDEECHVMSUSB-UHFFFAOYSA-N
DB00260	C06682	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00260	C08057	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00262	C06873	DLGOEMSEDOSKAD-UHFFFAOYSA-N
DB00263	C07318	NHUHCSRWZMLRLA-UHFFFAOYSA-N
DB00264	C07202	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00266	C00796	DOBMPNYZJYQDGZ-UHFFFAOYSA-N
DB00268	C07564	UHSKFQJFRQCDBE-UHFFFAOYSA-N
DB00271	C13429	YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00273	C07502	KJADKKWYZYXHBB-XBWDGYHZSA-N
DB00274	C08103	SNBUBQHDYVFSQF-HIFRSBDPSA-N
DB00274	C08104	SNBUBQHDYVFSQF-HIFRSBDPSA-N
DB00276	C01553	XCPGHVQEEXUHNC-UHFFFAOYSA-N
DB00277	C07130	ZFXYFBGIUFBOJW-UHFFFAOYSA-N
DB00278	C04931	KXNPVXPOPUZYGB-IOVMHBDKSA-N
DB00279	C02465	AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00280	C06965	UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00280	C07740	UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00281	C07073	NNJVILVZKWQKPM-UHFFFAOYSA-N
DB00282	C07395	WRUUGTRCQOWXEG-UHFFFAOYSA-N
DB00283	C06913	YNNUSGIPVFPVBX-NHCUHLMSSA-N
DB00285	C07187	PNVNVHUZROJLTJ-UHFFFAOYSA-N
DB00290	C06854	OYVAGSVQBOHSSS-WXFSZRTFSA-O
DB00291	C06900	JCKYGMPEJWAADB-UHFFFAOYSA-N
DB00292	C07522	NPUKDXXFDDZOKR-LLVKDONJSA-N
DB00293	C11372	IVTVGDXNLFLDRM-HNNXBMFYSA-N
DB00295	C01516	BQJCRHHNABKAKU-KBQPJGBKSA-N
DB00296	C07532	ZKMNUMMKYBVTFN-HNNXBMFYSA-N
DB00297	C07529	LEBVLXFERQHONN-UHFFFAOYSA-N
DB00297	C07887	LEBVLXFERQHONN-UHFFFAOYSA-N
DB00299	C07417	JNTOCHDNEULJHD-UHFFFAOYSA-N
DB00301	C11748	UIOFUWFRIANQPC-JKIFEVAISA-N
DB00302	C12535	GYDJEQRTZSCIOI-LJGSYFOKSA-N
DB00304	C07629	RPLCPCMSCLEKRS-BPIQYHPVSA-N
DB00305	C06681	NWIBSHFKIJFRCO-WUDYKRTCSA-N
DB00308	C07753	ALOBUEHUHMBRLE-UHFFFAOYSA-N
DB00312	C07422	WEXRUCMBJFQVBZ-UHFFFAOYSA-N
DB00313	C07185	NIJJYAXOARWZEE-UHFFFAOYSA-N
DB00315	C07218	ULSDMUVEXKOYBU-ZDUSSCGKSA-N
DB00316	C06804	RZVAJINKPMORJF-UHFFFAOYSA-N
DB00318	C06174	OROGSEYTTFOCAN-DNJOTXNNSA-N
