drugbank_id	mcule_id	inchi_key
DB00174	MCULE-5685974579	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00174	MCULE-6923060287	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00176	MCULE-4841680762	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00176	MCULE-9050806258	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00177	MCULE-3932863573	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00177	MCULE-6728882368	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00177	MCULE-7169523127	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00177	MCULE-8348485974	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00178	MCULE-5032313085	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00178	MCULE-5248389623	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00178	MCULE-5386328912	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00178	MCULE-8858912367	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00179	MCULE-7119316381	HCZKYJDFEPMADG-TXEJJXNPSA-N
DB00180	MCULE-3573201137	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00181	MCULE-2275748923	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00181	MCULE-4066377889	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00181	MCULE-5448996279	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00181	MCULE-8004972280	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00181	MCULE-8553382917	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00182	MCULE-4193952437	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00184	MCULE-5830857858	SNICXCGAKADSCV-JTQLQIEISA-N
DB00184	MCULE-8728421654	SNICXCGAKADSCV-JTQLQIEISA-N
DB00190	MCULE-3361662842	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00190	MCULE-3726796258	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00190	MCULE-7324993238	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00191	MCULE-1315767006	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00191	MCULE-5902765996	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00193	MCULE-1882520267	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DB00193	MCULE-8198453745	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
