drugbank_id	dailtmed_new_id	inchi_key
DB00332	IPRATROPIUM	OEXHQOGQTVQTAT-BHIXFJMTSA-N
DB00332	IPRATROPIUM BROMIDE	OEXHQOGQTVQTAT-BHIXFJMTSA-N
DB00333	METHADONE	USSIQXCVUWKGNF-UHFFFAOYSA-N
DB00333	METHADONE HYDROCHLORIDE	USSIQXCVUWKGNF-UHFFFAOYSA-N
DB00334	OLANZAPINE	KVWDHTXUZHCGIO-UHFFFAOYSA-N
DB00334	OLANZAPINE PAMOATE	KVWDHTXUZHCGIO-UHFFFAOYSA-N
DB00335	ATENOLOL	METKIMKYRPQLGS-UHFFFAOYSA-N
DB00337	PIMECROLIMUS	KASDHRXLYQOAKZ-XDSKOBMDSA-N
DB00338	ESOMEPRAZOLE	SUBDBMMJDZJVOS-UHFFFAOYSA-N
DB00338	OMEPRAZOLE	SUBDBMMJDZJVOS-UHFFFAOYSA-N
DB00339	PYRAZINAMIDE	IPEHBUMCGVEMRF-UHFFFAOYSA-N
DB00341	CETIRIZINE	ZKLPARSLTMPFCP-UHFFFAOYSA-N
DB00341	CETIRIZINE HYDROCHLORIDE	ZKLPARSLTMPFCP-UHFFFAOYSA-N
DB00341	LEVOCETIRIZINE	ZKLPARSLTMPFCP-UHFFFAOYSA-N
DB00341	LEVOCETIRIZINE DIHYDROCHLORIDE	ZKLPARSLTMPFCP-UHFFFAOYSA-N
DB00343	DILTIAZEM	HSUGRBWQSSZJOP-RTWAWAEBSA-N
DB00343	DILTIAZEM HYDROCHLORIDE	HSUGRBWQSSZJOP-RTWAWAEBSA-N
DB00344	PROTRIPTYLINE	BWPIARFWQZKAIA-UHFFFAOYSA-N
DB00344	PROTRIPTYLINE HYDROCHLORIDE	BWPIARFWQZKAIA-UHFFFAOYSA-N
DB00346	ALFUZOSIN	WNMJYKCGWZFFKR-UHFFFAOYSA-N
DB00346	ALFUZOSIN HYDROCHLORIDE	WNMJYKCGWZFFKR-UHFFFAOYSA-N
DB00347	TRIMETHADIONE	IRYJRGCIQBGHIV-UHFFFAOYSA-N
DB00348	NITISINONE	OUBCNLGXQFSTLU-UHFFFAOYSA-N
DB00349	CLOBAZAM	CXOXHMZGEKVPMT-UHFFFAOYSA-N
DB00350	MINOXIDIL	ZFMITUMMTDLWHR-UHFFFAOYSA-N
DB00351	MEGESTROL ACETATE	RQZAXGRLVPAYTJ-GQFGMJRRSA-N
DB00352	THIOGUANINE	WYWHKKSPHMUBEB-UHFFFAOYSA-N
DB00353	METHYLERGONOVINE	UNBRKDKAWYKMIV-QWQRMKEZSA-N
DB00353	METHYLERGONOVINE MALEATE	UNBRKDKAWYKMIV-QWQRMKEZSA-N
DB00355	AZTREONAM	WZPBZJONDBGPKJ-VEHQQRBSSA-N
DB00356	CHLORZOXAZONE	TZFWDZFKRBELIQ-UHFFFAOYSA-N
DB00358	MEFLOQUINE	XEEQGYMUWCZPDN-UHFFFAOYSA-N
DB00358	MEFLOQUINE HYDROCHLORIDE	XEEQGYMUWCZPDN-UHFFFAOYSA-N
DB00359	SULFADIAZINE	SEEPANYCNGTZFQ-UHFFFAOYSA-N
DB00360	SAPROPTERIN	FNKQXYHWGSIFBK-RPDRRWSUSA-N
DB00360	SAPROPTERIN DIHYDROCHLORIDE	FNKQXYHWGSIFBK-RPDRRWSUSA-N
DB00361	VINORELBINE	GBABOYUKABKIAF-IELIFDKJSA-N
DB00361	VINORELBINE TARTRATE	GBABOYUKABKIAF-IELIFDKJSA-N
DB00362	ANIDULAFUNGIN	JHVAMHSQVVQIOT-MFAJLEFUSA-N
DB00363	CLOZAPINE	QZUDBNBUXVUHMW-UHFFFAOYSA-N
DB00364	WATER	IPLJAZDIICJQEL-JTJNLBSYSA-A
DB00366	DOXYLAMINE	HCFDWZZGGLSKEP-UHFFFAOYSA-N
DB00366	DOXYLAMINE SUCCINATE	HCFDWZZGGLSKEP-UHFFFAOYSA-N
DB00367	LEVONORGESTREL	WWYNJERNGUHSAO-XUDSTZEESA-N
DB00367	NORGESTREL	WWYNJERNGUHSAO-XUDSTZEESA-N
DB00368	NOREPINEPHRINE	SFLSHLFXELFNJZ-QMMMGPOBSA-N
DB00368	NOREPINEPHRINE BITARTRATE	SFLSHLFXELFNJZ-QMMMGPOBSA-N
DB00369	CIDOFOVIR	VWFCHDSQECPREK-LURJTMIESA-N
DB00370	MIRTAZAPINE	RONZAEMNMFQXRA-UHFFFAOYSA-N
DB00371	MEPROBAMATE	NPPQSCRMBWNHMW-UHFFFAOYSA-N
DB00373	TIMOLOL	BLJRIMJGRPQVNF-JTQLQIEISA-N
DB00373	TIMOLOL MALEATE	BLJRIMJGRPQVNF-JTQLQIEISA-N
DB00374	TREPROSTINIL	PAJMKGZZBBTTOY-ZFORQUDYSA-N
DB00376	TRIHEXYPHENIDYL	HWHLPVGTWGOCJO-UHFFFAOYSA-N
DB00376	TRIHEXYPHENIDYL HYDROCHLORIDE	HWHLPVGTWGOCJO-UHFFFAOYSA-N
DB00377	PALONOSETRON	CPZBLNMUGSZIPR-NVXWUHKLSA-N
DB00377	PALONOSETRON HYDROCHLORIDE	CPZBLNMUGSZIPR-NVXWUHKLSA-N
DB00379	MEXILETINE	VLPIATFUUWWMKC-UHFFFAOYSA-N
DB00379	MEXILETINE HYDROCHLORIDE	VLPIATFUUWWMKC-UHFFFAOYSA-N
DB00380	DEXRAZOXANE	BMKDZUISNHGIBY-ZETCQYMHSA-N
DB00380	DEXRAZOXANE HYDROCHLORIDE	BMKDZUISNHGIBY-ZETCQYMHSA-N
DB00381	AMLODIPINE	HTIQEAQVCYTUBX-UHFFFAOYSA-N
DB00384	TRIAMTERENE	FNYLWPVRPXGIIP-UHFFFAOYSA-N
DB00385	VALRUBICIN	ZOCKGBMQLCSHFP-KQRAQHLDSA-N
DB00388	PHENYLEPHRINE	SONNWYBIRXJNDC-VIFPVBQESA-N
DB00388	PHENYLEPHRINE BITARTRATE	SONNWYBIRXJNDC-VIFPVBQESA-N
DB00388	PHENYLEPHRINE HYDROCHLORIDE	SONNWYBIRXJNDC-VIFPVBQESA-N
DB00390	DIGOXIN	LTMHDMANZUZIPE-PUGKRICDSA-N
DB00393	NIMODIPINE	UIAGMCDKSXEBJQ-UHFFFAOYSA-N
DB00394	BECLOMETHASONE DIPROPIONATE	KUVIULQEHSCUHY-XYWKZLDCSA-N
DB00395	CARISOPRODOL	OFZCIYFFPZCNJE-UHFFFAOYSA-N
DB00396	PROGESTERONE	RJKFOVLPORLFTN-LEKSSAKUSA-N
DB00398	SORAFENIB	MLDQJTXFUGDVEO-UHFFFAOYSA-N
DB00399	ZOLEDRONIC ACID	XRASPMIURGNCCH-UHFFFAOYSA-N
DB00400	GRISEOFULVIN	DDUHZTYCFQRHIY-RBHXEPJQSA-N
DB00401	NISOLDIPINE	VKQFCGNPDRICFG-UHFFFAOYSA-N
DB00402	ESZOPICLONE	GBBSUAFBMRNDJC-INIZCTEOSA-N
DB00404	ALPRAZOLAM	VREFGVBLTWBCJP-UHFFFAOYSA-N
DB00405	BROMPHENIRAMINE	ZDIGNSYAACHWNL-HNNXBMFYSA-N
DB00405	BROMPHENIRAMINE MALEATE	ZDIGNSYAACHWNL-HNNXBMFYSA-N
DB00405	DEXBROMPHENIRAMINE	ZDIGNSYAACHWNL-HNNXBMFYSA-N
